Day,Date,Creatinine,Level
1,2026-01-01,1.02,1
2,2026-01-02,0.98,1
3,2026-01-03,1.05,1
4,2026-01-04,0.96,1
5,2026-01-05,1.01,1
6,2026-01-06,1.03,1
7,2026-01-07,0.99,1
8,2026-01-08,1.04,1
9,2026-01-09,0.97,1
10,2026-01-10,1.00,1
11,2026-01-11,1.02,1
12,2026-01-12,0.98,1
13,2026-01-13,1.06,1
14,2026-01-14,0.95,1
15,2026-01-15,1.01,1
16,2026-01-16,1.03,1
17,2026-01-17,0.99,1
18,2026-01-18,1.02,1
19,2026-01-19,0.97,1
20,2026-01-20,1.00,1
21,2026-01-21,1.04,1
22,2026-01-22,0.98,1
23,2026-01-23,1.05,1
24,2026-01-24,0.96,1
25,2026-01-25,1.02,1
26,2026-01-26,1.00,1
27,2026-01-27,1.03,1
28,2026-01-28,0.99,1
29,2026-01-29,1.01,1
30,2026-01-30,0.97,1
31,2026-01-31,1.12,2
32,2026-02-01,1.15,2
33,2026-02-02,1.08,2
34,2026-02-03,1.18,2
35,2026-02-04,1.10,2
36,2026-02-05,1.14,2
37,2026-02-06,1.09,2
38,2026-02-07,1.16,2
39,2026-02-08,1.12,2
40,2026-02-09,1.11,2
41,2026-02-10,1.17,2
42,2026-02-11,1.08,2
43,2026-02-12,1.13,2
44,2026-02-13,1.19,2
45,2026-02-14,1.10,2
46,2026-02-15,1.15,2
47,2026-02-16,1.12,2
48,2026-02-17,1.14,2
49,2026-02-18,1.09,2
50,2026-02-19,1.16,2
51,2026-02-20,1.22,2
52,2026-02-21,1.11,2
53,2026-02-22,1.18,2
54,2026-02-23,1.13,2
55,2026-02-24,1.15,2
56,2026-02-25,1.10,2
57,2026-02-26,1.17,2
58,2026-02-27,1.12,2
59,2026-02-28,1.14,2
60,2026-03-01,1.19,2
